标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
安个家 专注油坊桥 小区专家 咨询更多 房,165,18685元/㎡,莲花新城嘉园,建邺,3,88.31㎡,南,2012年建造,"['南', '满二年', '近地铁']"
雨山路地铁口.220万起！10号线地铁直达河西！随时看房,270,27000元/㎡,龙湖天曜城,浦口,3,100㎡,南,,"['轨交房', '车位充足']"
标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
急售，工作调动，看好大胆出价，房东愿意低价出售,300,26065元/㎡,融筑儒林花园,栖霞,3,115.1㎡,南北,2019年建造,"['南北', '满五年', '近地铁', '车位充足']"
楼层好 居住密度低 钥匙房 满五,320,34240元/㎡,鑫园小区,秦淮,3,93.46㎡,南,2002年建造,"['南', '满五年']"
弘阳禹洲时光印象 商品房 交通便捷 电梯房 近地铁 南北通透,86,9713元/㎡,弘阳禹洲时光印象,滨江开发区,3,88.55㎡,南北,2019年建造,"['南北', '近地铁', '价格优惠', '房东急售']"
尊荣典范 成功象征 豪宅标配会所 超大绿化空间 单价低至3万,350,32111元/㎡,保利·燕璟和颂,栖霞,3,109㎡,南,,"['动静分离', '户型方正', '多轨交', '车位充足']"
珍珠雅苑 近地铁 商圈成熟 南北通透 小三居 板楼 楼层好,110,12088元/㎡,珍珠雅苑,浦口,3,91㎡,南北,2018年建造,"['南北', '满二年']"
中医院旁碧桂园洋房 二次装修 带新风 地暖 有产权车位,168,14609元/㎡,南京碧桂园浅山苑,滨江开发区,3,115㎡,南北,2018年建造,"['南北', '满二年']"
"福建路两房有电梯,三牌楼商圈生活便利 交通发达",145,20852元/㎡,钟阜大厦,鼓楼,2,69.54㎡,南,2018年建造,"['南', '满五年']"
央企独资开发 豪宅标配会所 超大绿化空间 高定位装标,320,32324元/㎡,保利·燕璟和颂,栖霞,3,99㎡,南,,"['多轨交', '车位充足']"
新上！直降50万急售 业主装修40万 金中金小 双地铁,423,35718元/㎡,融筑儒林花园,栖霞,3,118.43㎡,南北,2020年建造,"['南北', '近地铁', '车位充足']"
中海玄武公馆次新房，小区环境优美，业主诚意出售，价格好谈,410,42448元/㎡,中海玄武公馆B区,玄武,3,96.59㎡,南,2018年建造,"['南', '南北通透', '配套成熟', '房东急售']"
215w降价诚售 燕子矶 南师 看房方便 配套成熟交通便利,215,24690元/㎡,海赋尚城一期,栖霞,3,87.08㎡,南,2018年建造,"['南', '满五年', '近地铁']"
315W 急 仅有一套 随时看 软件大道 精装 小行 近河西,329,37167元/㎡,中南锦苑,雨花台,3,88.52㎡,南,2017年建造,"['南', '房东直卖', '满五年', '近地铁']"
年底8折江北核心区，准现房，地铁口,403,34153元/㎡,中海观江樾,浦口,3,118㎡,南,,"['大户型', '轨交房', '车位充足']"
栖霞区仙林湖融信世纪东方3室2厅,276,30742元/㎡,融筑儒林花园,栖霞,3,89.78㎡,南,2020年建造,"['南', '满二年', '近地铁', '车位充足']"
融信世纪东方三房 急售 金小金中 二号线四号线 万达茂商业,218,24589元/㎡,融筑儒林花园,栖霞,3,88.66㎡,南北,2018年建造,"['南北', '满五年', '近地铁', '车位充足']"
莲花新城嘉园 交通便捷 高楼层视野好 满二 小三房 临地铁,170,19102元/㎡,莲花新城嘉园,建邺,3,89㎡,南,2013年建造,"['南', '满二年', '近地铁']"
近地铁 产权清晰 有电梯 精装可拎包入住 小区新 正南朝向,310,30694元/㎡,中海燕矶听潮A区,栖霞,3,101㎡,南,2017年建造,"['南', '房东急售']"
宋都旁 金地2期 精装全南三房 两厅一卫采光无挡 满5 力小,112,15489元/㎡,金地自在城(二期),雨花台,3,72.31㎡,南北,2000年建造,"['南北通透', '价格优惠', '房东急售']"
江南名府 多层3楼 楼层好 采光充足 配套齐全 交通便利,398,33965元/㎡,江南名府,建邺,3,117.18㎡,南北,2018年建造,"['南北', '满五年']"
碧桂园逸谷苑 三房两卫150万房东急售 全新房7楼视野开阔,153,13077元/㎡,南京碧桂园逸谷苑,滨江开发区,3,117㎡,南北,2017年建造,"['南北', '房东直卖', '满二年']"
城北新街口，燕子矶门户，双地铁1号7号线 ，双阳台横厅设计,330,33334元/㎡,保利·国贸璟上,栖霞,3,99㎡,南北,,"['多轨交', '车位充足']"
急卖！中间楼层 85平小三房 价格好谈,88,10353元/㎡,摄山星城听竹苑,栖霞,3,85㎡,南北,2006年建造,"['南北', '满五年', '绿化率高', '户型方正']"
~次新毛坯系 湖南路 地铁口 绿地紫金中心 边户 急售,689,49655元/㎡,绿地紫金中心,鼓楼,3,138.76㎡,南北,2019年建造,"['南北', '有电梯', '近地铁', '次新房']"
直降70w 出价就卖 房东急售 带车位！有钥匙随时看,250,26701元/㎡,高科荣境2期,栖霞,3,93.63㎡,南北,2020年建造,"['南北', '热门小区', '房东急售', '随时可看']"
急售！降价四十万！仙龙湾南北通透两房 南师 仙林学则路,278,30333元/㎡,仙龙湾山庄,栖霞,2,91.65㎡,南北,2015年建造,"['南北', '满五年', '近地铁']"
330万可购 软件大道 雨核 精装 地铁口 免费车接看房,370,37374元/㎡,万科朗拾雨核,雨花台,3,99㎡,南,,"['南北通透', '大阳台', '双卫生间', '购物中心']"
